# RIGHT SOLUTIONS A.I. - CHENDAI SYNTHESIS MAP (EXPANDED)
# FORMAT: [ID] | [TYPE] | [BASE_FREQ_HZ] | [HARMONIC_RATIOS] | [DECAY_SEC] | [NOISE_ATTACK_AMT] | [PITCH_BEND_AMT]
# NOTE: Harmonic Ratios are comma-separated multipliers of Base Freq.
# NOTE: Noise Attack is 0.0 (clean) to 1.0 (pure noise).
# NOTE: Pitch Bend is Hz drop over time (simulates skin stretching).

# --- SECTION 1: VALAM THALA (RIGHT SIDE - STICK) - THAAM FAMILY ---
# The main striking sounds - 300 variations

THAAM_400HZ_SOFT | STICK_CENTER | 400.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
NAM_861HZ_HARD | RIM_SHOT | 861.0 | 1.4, 1.9, 4.5, 6.0 | 0.36 | 0.165 | 6.0
NAM_862HZ_GHOST | RIM_SHOT | 862.0 | 1.4, 1.9 | 0.17 | 0.060 | 0.0
NAM_863HZ_MED | RIM_SHOT | 863.0 | 1.4, 1.9, 4.5 | 0.33 | 0.130 | 3.5
NAM_864HZ_HARD | RIM_SHOT | 864.0 | 1.4, 1.9, 4.5, 6.0 | 0.41 | 0.210 | 9.0
NAM_865HZ_GHOST | RIM_SHOT | 865.0 | 1.4, 1.9 | 0.20 | 0.075 | 0.0
NAM_866HZ_MED | RIM_SHOT | 866.0 | 1.4, 1.9, 4.5 | 0.36 | 0.160 | 2.5
NAM_867HZ_HARD | RIM_SHOT | 867.0 | 1.4, 1.9, 4.5, 6.0 | 0.45 | 0.255 | 7.0
NAM_868HZ_GHOST | RIM_SHOT | 868.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_869HZ_MED | RIM_SHOT | 869.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 4.0
NAM_870HZ_HARD | RIM_SHOT | 870.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 5.0
NAM_871HZ_GHOST | RIM_SHOT | 871.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_872HZ_MED | RIM_SHOT | 872.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 3.0
NAM_873HZ_HARD | RIM_SHOT | 873.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 8.0
NAM_874HZ_GHOST | RIM_SHOT | 874.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_875HZ_MED | RIM_SHOT | 875.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 2.0
NAM_876HZ_HARD | RIM_SHOT | 876.0 | 1.4, 1.9, 4.5, 6.0 | 0.35 | 0.150 | 6.0
NAM_877HZ_GHOST | RIM_SHOT | 877.0 | 1.4, 1.9 | 0.16 | 0.055 | 0.0
NAM_878HZ_MED | RIM_SHOT | 878.0 | 1.4, 1.9, 4.5 | 0.32 | 0.120 | 3.5
NAM_879HZ_HARD | RIM_SHOT | 879.0 | 1.4, 1.9, 4.5, 6.0 | 0.39 | 0.195 | 9.0
NAM_880HZ_GHOST | RIM_SHOT | 880.0 | 1.4, 1.9 | 0.19 | 0.070 | 0.0
NAM_881HZ_MED | RIM_SHOT | 881.0 | 1.4, 1.9, 4.5 | 0.35 | 0.150 | 2.5
NAM_882HZ_HARD | RIM_SHOT | 882.0 | 1.4, 1.9, 4.5, 6.0 | 0.44 | 0.240 | 7.0
NAM_883HZ_GHOST | RIM_SHOT | 883.0 | 1.4, 1.9 | 0.22 | 0.085 | 0.0
NAM_884HZ_MED | RIM_SHOT | 884.0 | 1.4, 1.9, 4.5 | 0.30 | 0.100 | 4.0
NAM_885HZ_HARD | RIM_SHOT | 885.0 | 1.4, 1.9, 4.5, 6.0 | 0.36 | 0.165 | 5.0
NAM_886HZ_GHOST | RIM_SHOT | 886.0 | 1.4, 1.9 | 0.17 | 0.060 | 0.0
NAM_887HZ_MED | RIM_SHOT | 887.0 | 1.4, 1.9, 4.5 | 0.33 | 0.130 | 3.0
NAM_888HZ_HARD | RIM_SHOT | 888.0 | 1.4, 1.9, 4.5, 6.0 | 0.41 | 0.210 | 8.0
NAM_889HZ_GHOST | RIM_SHOT | 889.0 | 1.4, 1.9 | 0.20 | 0.075 | 0.0
NAM_890HZ_MED | RIM_SHOT | 890.0 | 1.4, 1.9, 4.5 | 0.36 | 0.160 | 2.0
NAM_891HZ_HARD | RIM_SHOT | 891.0 | 1.4, 1.9, 4.5, 6.0 | 0.45 | 0.255 | 6.0
NAM_892HZ_GHOST | RIM_SHOT | 892.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_893HZ_MED | RIM_SHOT | 893.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 3.5
NAM_894HZ_HARD | RIM_SHOT | 894.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 9.0
NAM_895HZ_GHOST | RIM_SHOT | 895.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_896HZ_MED | RIM_SHOT | 896.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 2.5
NAM_897HZ_HARD | RIM_SHOT | 897.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 7.0
NAM_898HZ_GHOST | RIM_SHOT | 898.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_899HZ_MED | RIM_SHOT | 899.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 4.0

# --- SECTION 4: URUTTU (ROLLING STRIKES) - FAST SEQUENCES ---
# Light, fast rolling strikes - 200 variations

URUTTU_480HZ_LEAD | ROLL_STICK | 480.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 15.0
URUTTU_480HZ_FOLLOW | ROLL_STICK | 480.0 | 1.5, 2.2 | 0.100 | 0.25 | 10.0
URUTTU_481HZ_LEAD | ROLL_STICK | 481.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 16.0
URUTTU_481HZ_FOLLOW | ROLL_STICK | 481.0 | 1.5, 2.2 | 0.105 | 0.26 | 10.8
URUTTU_482HZ_LEAD | ROLL_STICK | 482.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 17.0
URUTTU_482HZ_FOLLOW | ROLL_STICK | 482.0 | 1.5, 2.2 | 0.110 | 0.27 | 11.6
URUTTU_483HZ_LEAD | ROLL_STICK | 483.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 18.0
URUTTU_483HZ_FOLLOW | ROLL_STICK | 483.0 | 1.5, 2.2 | 0.115 | 0.28 | 12.4
URUTTU_484HZ_LEAD | ROLL_STICK | 484.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 19.0
URUTTU_484HZ_FOLLOW | ROLL_STICK | 484.0 | 1.5, 2.2 | 0.120 | 0.29 | 13.2
URUTTU_485HZ_LEAD | ROLL_STICK | 485.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 20.0
URUTTU_485HZ_FOLLOW | ROLL_STICK | 485.0 | 1.5, 2.2 | 0.125 | 0.30 | 14.0
URUTTU_486HZ_LEAD | ROLL_STICK | 486.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 21.0
URUTTU_486HZ_FOLLOW | ROLL_STICK | 486.0 | 1.5, 2.2 | 0.130 | 0.31 | 14.8
URUTTU_487HZ_LEAD | ROLL_STICK | 487.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 22.0
URUTTU_487HZ_FOLLOW | ROLL_STICK | 487.0 | 1.5, 2.2 | 0.135 | 0.32 | 15.6
URUTTU_488HZ_LEAD | ROLL_STICK | 488.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 15.0
URUTTU_488HZ_FOLLOW | ROLL_STICK | 488.0 | 1.5, 2.2 | 0.140 | 0.33 | 10.0
URUTTU_489HZ_LEAD | ROLL_STICK | 489.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 16.0
URUTTU_489HZ_FOLLOW | ROLL_STICK | 489.0 | 1.5, 2.2 | 0.145 | 0.34 | 10.8
URUTTU_490HZ_LEAD | ROLL_STICK | 490.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 17.0
URUTTU_490HZ_FOLLOW | ROLL_STICK | 490.0 | 1.5, 2.2 | 0.100 | 0.25 | 11.6
URUTTU_491HZ_LEAD | ROLL_STICK | 491.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 18.0
URUTTU_491HZ_FOLLOW | ROLL_STICK | 491.0 | 1.5, 2.2 | 0.105 | 0.26 | 12.4
URUTTU_492HZ_LEAD | ROLL_STICK | 492.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 19.0
URUTTU_492HZ_FOLLOW | ROLL_STICK | 492.0 | 1.5, 2.2 | 0.110 | 0.27 | 13.2
URUTTU_493HZ_LEAD | ROLL_STICK | 493.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 20.0
URUTTU_493HZ_FOLLOW | ROLL_STICK | 493.0 | 1.5, 2.2 | 0.115 | 0.28 | 14.0
URUTTU_494HZ_LEAD | ROLL_STICK | 494.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 21.0
URUTTU_494HZ_FOLLOW | ROLL_STICK | 494.0 | 1.5, 2.2 | 0.120 | 0.29 | 14.8
URUTTU_495HZ_LEAD | ROLL_STICK | 495.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 22.0
URUTTU_495HZ_FOLLOW | ROLL_STICK | 495.0 | 1.5, 2.2 | 0.125 | 0.30 | 15.6
URUTTU_496HZ_LEAD | ROLL_STICK | 496.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 15.0
URUTTU_496HZ_FOLLOW | ROLL_STICK | 496.0 | 1.5, 2.2 | 0.130 | 0.31 | 10.0
URUTTU_497HZ_LEAD | ROLL_STICK | 497.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 16.0
URUTTU_497HZ_FOLLOW | ROLL_STICK | 497.0 | 1.5, 2.2 | 0.135 | 0.32 | 10.8
URUTTU_498HZ_LEAD | ROLL_STICK | 498.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 17.0
URUTTU_498HZ_FOLLOW | ROLL_STICK | 498.0 | 1.5, 2.2 | 0.140 | 0.33 | 11.6
URUTTU_499HZ_LEAD | ROLL_STICK | 499.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 18.0
URUTTU_499HZ_FOLLOW | ROLL_STICK | 499.0 | 1.5, 2.2 | 0.145 | 0.34 | 12.4
URUTTU_500HZ_LEAD | ROLL_STICK | 500.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 19.0
URUTTU_500HZ_FOLLOW | ROLL_STICK | 500.0 | 1.5, 2.2 | 0.100 | 0.25 | 13.2
URUTTU_501HZ_LEAD | ROLL_STICK | 501.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 20.0
URUTTU_501HZ_FOLLOW | ROLL_STICK | 501.0 | 1.5, 2.2 | 0.105 | 0.26 | 14.0
URUTTU_502HZ_LEAD | ROLL_STICK | 502.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 21.0
URUTTU_502HZ_FOLLOW | ROLL_STICK | 502.0 | 1.5, 2.2 | 0.110 | 0.27 | 14.8
URUTTU_503HZ_LEAD | ROLL_STICK | 503.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 22.0
URUTTU_503HZ_FOLLOW | ROLL_STICK | 503.0 | 1.5, 2.2 | 0.115 | 0.28 | 15.6
URUTTU_504HZ_LEAD | ROLL_STICK | 504.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 15.0
URUTTU_504HZ_FOLLOW | ROLL_STICK | 504.0 | 1.5, 2.2 | 0.120 | 0.29 | 10.0
URUTTU_505HZ_LEAD | ROLL_STICK | 505.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 16.0
URUTTU_505HZ_FOLLOW | ROLL_STICK | 505.0 | 1.5, 2.2 | 0.125 | 0.30 | 10.8
URUTTU_506HZ_LEAD | ROLL_STICK | 506.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 17.0
URUTTU_506HZ_FOLLOW | ROLL_STICK | 506.0 | 1.5, 2.2 | 0.130 | 0.31 | 11.6
URUTTU_507HZ_LEAD | ROLL_STICK | 507.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 18.0
URUTTU_507HZ_FOLLOW | ROLL_STICK | 507.0 | 1.5, 2.2 | 0.135 | 0.32 | 12.4
URUTTU_508HZ_LEAD | ROLL_STICK | 508.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 19.0
URUTTU_508HZ_FOLLOW | ROLL_STICK | 508.0 | 1.5, 2.2 | 0.140 | 0.33 | 13.2
URUTTU_509HZ_LEAD | ROLL_STICK | 509.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 20.0
URUTTU_509HZ_FOLLOW | ROLL_STICK | 509.0 | 1.5, 2.2 | 0.145 | 0.34 | 14.0
URUTTU_510HZ_LEAD | ROLL_STICK | 510.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 21.0
URUTTU_510HZ_FOLLOW | ROLL_STICK | 510.0 | 1.5, 2.2 | 0.100 | 0.25 | 14.8
URUTTU_511HZ_LEAD | ROLL_STICK | 511.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 22.0
URUTTU_511HZ_FOLLOW | ROLL_STICK | 511.0 | 1.5, 2.2 | 0.105 | 0.26 | 15.6
URUTTU_512HZ_LEAD | ROLL_STICK | 512.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 15.0
URUTTU_512HZ_FOLLOW | ROLL_STICK | 512.0 | 1.5, 2.2 | 0.110 | 0.27 | 10.0
URUTTU_513HZ_LEAD | ROLL_STICK | 513.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 16.0
URUTTU_513HZ_FOLLOW | ROLL_STICK | 513.0 | 1.5, 2.2 | 0.115 | 0.28 | 10.8
URUTTU_514HZ_LEAD | ROLL_STICK | 514.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 17.0
URUTTU_514HZ_FOLLOW | ROLL_STICK | 514.0 | 1.5, 2.2 | 0.120 | 0.29 | 11.6
URUTTU_515HZ_LEAD | ROLL_STICK | 515.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 18.0
URUTTU_515HZ_FOLLOW | ROLL_STICK | 515.0 | 1.5, 2.2 | 0.125 | 0.30 | 12.4
URUTTU_516HZ_LEAD | ROLL_STICK | 516.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 19.0
URUTTU_516HZ_FOLLOW | ROLL_STICK | 516.0 | 1.5, 2.2 | 0.130 | 0.31 | 13.2
URUTTU_517HZ_LEAD | ROLL_STICK | 517.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 20.0
URUTTU_517HZ_FOLLOW | ROLL_STICK | 517.0 | 1.5, 2.2 | 0.135 | 0.32 | 14.0
URUTTU_518HZ_LEAD | ROLL_STICK | 518.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 21.0
URUTTU_518HZ_FOLLOW | ROLL_STICK | 518.0 | 1.5, 2.2 | 0.140 | 0.33 | 14.8
URUTTU_519HZ_LEAD | ROLL_STICK | 519.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 22.0
URUTTU_519HZ_FOLLOW | ROLL_STICK | 519.0 | 1.5, 2.2 | 0.145 | 0.34 | 15.6
URUTTU_520HZ_LEAD | ROLL_STICK | 520.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 15.0
URUTTU_520HZ_FOLLOW | ROLL_STICK | 520.0 | 1.5, 2.2 | 0.100 | 0.25 | 10.0
URUTTU_521HZ_LEAD | ROLL_STICK | 521.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 16.0
URUTTU_521HZ_FOLLOW | ROLL_STICK | 521.0 | 1.5, 2.2 | 0.105 | 0.26 | 10.8
URUTTU_522HZ_LEAD | ROLL_STICK | 522.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 17.0
URUTTU_522HZ_FOLLOW | ROLL_STICK | 522.0 | 1.5, 2.2 | 0.110 | 0.27 | 11.6
URUTTU_523HZ_LEAD | ROLL_STICK | 523.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 18.0
URUTTU_523HZ_FOLLOW | ROLL_STICK | 523.0 | 1.5, 2.2 | 0.115 | 0.28 | 12.4
URUTTU_524HZ_LEAD | ROLL_STICK | 524.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 19.0
URUTTU_524HZ_FOLLOW | ROLL_STICK | 524.0 | 1.5, 2.2 | 0.120 | 0.29 | 13.2
URUTTU_525HZ_LEAD | ROLL_STICK | 525.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 20.0
URUTTU_525HZ_FOLLOW | ROLL_STICK | 525.0 | 1.5, 2.2 | 0.125 | 0.30 | 14.0
URUTTU_526HZ_LEAD | ROLL_STICK | 526.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 21.0
URUTTU_526HZ_FOLLOW | ROLL_STICK | 526.0 | 1.5, 2.2 | 0.130 | 0.31 | 14.8
URUTTU_527HZ_LEAD | ROLL_STICK | 527.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 22.0
URUTTU_527HZ_FOLLOW | ROLL_STICK | 527.0 | 1.5, 2.2 | 0.135 | 0.32 | 15.6
URUTTU_528HZ_LEAD | ROLL_STICK | 528.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 15.0
URUTTU_528HZ_FOLLOW | ROLL_STICK | 528.0 | 1.5, 2.2 | 0.140 | 0.33 | 10.0
URUTTU_529HZ_LEAD | ROLL_STICK | 529.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 16.0
URUTTU_529HZ_FOLLOW | ROLL_STICK | 529.0 | 1.5, 2.2 | 0.145 | 0.34 | 10.8
URUTTU_530HZ_LEAD | ROLL_STICK | 530.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 17.0
URUTTU_530HZ_FOLLOW | ROLL_STICK | 530.0 | 1.5, 2.2 | 0.100 | 0.25 | 11.6
URUTTU_531HZ_LEAD | ROLL_STICK | 531.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 18.0
URUTTU_531HZ_FOLLOW | ROLL_STICK | 531.0 | 1.5, 2.2 | 0.105 | 0.26 | 12.4
URUTTU_532HZ_LEAD | ROLL_STICK | 532.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 19.0
URUTTU_532HZ_FOLLOW | ROLL_STICK | 532.0 | 1.5, 2.2 | 0.110 | 0.27 | 13.2
URUTTU_533HZ_LEAD | ROLL_STICK | 533.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 20.0
URUTTU_533HZ_FOLLOW | ROLL_STICK | 533.0 | 1.5, 2.2 | 0.115 | 0.28 | 14.0
URUTTU_534HZ_LEAD | ROLL_STICK | 534.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 21.0
URUTTU_534HZ_FOLLOW | ROLL_STICK | 534.0 | 1.5, 2.2 | 0.120 | 0.29 | 14.8
URUTTU_535HZ_LEAD | ROLL_STICK | 535.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 22.0
URUTTU_535HZ_FOLLOW | ROLL_STICK | 535.0 | 1.5, 2.2 | 0.125 | 0.30 | 15.6
URUTTU_536HZ_LEAD | ROLL_STICK | 536.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 15.0
URUTTU_536HZ_FOLLOW | ROLL_STICK | 536.0 | 1.5, 2.2 | 0.130 | 0.31 | 10.0
URUTTU_537HZ_LEAD | ROLL_STICK | 537.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 16.0
URUTTU_537HZ_FOLLOW | ROLL_STICK | 537.0 | 1.5, 2.2 | 0.135 | 0.32 | 10.8
URUTTU_538HZ_LEAD | ROLL_STICK | 538.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 17.0
URUTTU_538HZ_FOLLOW | ROLL_STICK | 538.0 | 1.5, 2.2 | 0.140 | 0.33 | 11.6
URUTTU_539HZ_LEAD | ROLL_STICK | 539.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 18.0
URUTTU_539HZ_FOLLOW | ROLL_STICK | 539.0 | 1.5, 2.2 | 0.145 | 0.34 | 12.4
URUTTU_540HZ_LEAD | ROLL_STICK | 540.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 19.0
URUTTU_540HZ_FOLLOW | ROLL_STICK | 540.0 | 1.5, 2.2 | 0.100 | 0.25 | 13.2
URUTTU_541HZ_LEAD | ROLL_STICK | 541.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 20.0
URUTTU_541HZ_FOLLOW | ROLL_STICK | 541.0 | 1.5, 2.2 | 0.105 | 0.26 | 14.0
URUTTU_542HZ_LEAD | ROLL_STICK | 542.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 21.0
URUTTU_542HZ_FOLLOW | ROLL_STICK | 542.0 | 1.5, 2.2 | 0.110 | 0.27 | 14.8
URUTTU_543HZ_LEAD | ROLL_STICK | 543.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 22.0
URUTTU_543HZ_FOLLOW | ROLL_STICK | 543.0 | 1.5, 2.2 | 0.115 | 0.28 | 15.6
URUTTU_544HZ_LEAD | ROLL_STICK | 544.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 15.0
URUTTU_544HZ_FOLLOW | ROLL_STICK | 544.0 | 1.5, 2.2 | 0.120 | 0.29 | 10.0
URUTTU_545HZ_LEAD | ROLL_STICK | 545.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 16.0
URUTTU_545HZ_FOLLOW | ROLL_STICK | 545.0 | 1.5, 2.2 | 0.125 | 0.30 | 10.8
URUTTU_546HZ_LEAD | ROLL_STICK | 546.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 17.0
URUTTU_546HZ_FOLLOW | ROLL_STICK | 546.0 | 1.5, 2.2 | 0.130 | 0.31 | 11.6
URUTTU_547HZ_LEAD | ROLL_STICK | 547.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 18.0
URUTTU_547HZ_FOLLOW | ROLL_STICK | 547.0 | 1.5, 2.2 | 0.135 | 0.32 | 12.4
URUTTU_548HZ_LEAD | ROLL_STICK | 548.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 19.0
URUTTU_548HZ_FOLLOW | ROLL_STICK | 548.0 | 1.5, 2.2 | 0.140 | 0.33 | 13.2
URUTTU_549HZ_LEAD | ROLL_STICK | 549.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 20.0
URUTTU_549HZ_FOLLOW | ROLL_STICK | 549.0 | 1.5, 2.2 | 0.145 | 0.34 | 14.0
URUTTU_550HZ_LEAD | ROLL_STICK | 550.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 21.0
URUTTU_550HZ_FOLLOW | ROLL_STICK | 550.0 | 1.5, 2.2 | 0.100 | 0.25 | 14.8
URUTTU_551HZ_LEAD | ROLL_STICK | 551.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 22.0
URUTTU_551HZ_FOLLOW | ROLL_STICK | 551.0 | 1.5, 2.2 | 0.105 | 0.26 | 15.6
URUTTU_552HZ_LEAD | ROLL_STICK | 552.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 15.0
URUTTU_552HZ_FOLLOW | ROLL_STICK | 552.0 | 1.5, 2.2 | 0.110 | 0.27 | 10.0
URUTTU_553HZ_LEAD | ROLL_STICK | 553.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 16.0
URUTTU_553HZ_FOLLOW | ROLL_STICK | 553.0 | 1.5, 2.2 | 0.115 | 0.28 | 10.8
URUTTU_554HZ_LEAD | ROLL_STICK | 554.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 17.0
URUTTU_554HZ_FOLLOW | ROLL_STICK | 554.0 | 1.5, 2.2 | 0.120 | 0.29 | 11.6
URUTTU_555HZ_LEAD | ROLL_STICK | 555.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 18.0
URUTTU_555HZ_FOLLOW | ROLL_STICK | 555.0 | 1.5, 2.2 | 0.125 | 0.30 | 12.4
URUTTU_556HZ_LEAD | ROLL_STICK | 556.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 19.0
URUTTU_556HZ_FOLLOW | ROLL_STICK | 556.0 | 1.5, 2.2 | 0.130 | 0.31 | 13.2
URUTTU_557HZ_LEAD | ROLL_STICK | 557.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 20.0
URUTTU_557HZ_FOLLOW | ROLL_STICK | 557.0 | 1.5, 2.2 | 0.135 | 0.32 | 14.0
URUTTU_558HZ_LEAD | ROLL_STICK | 558.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 21.0
URUTTU_558HZ_FOLLOW | ROLL_STICK | 558.0 | 1.5, 2.2 | 0.140 | 0.33 | 14.8
URUTTU_559HZ_LEAD | ROLL_STICK | 559.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 22.0
URUTTU_559HZ_FOLLOW | ROLL_STICK | 559.0 | 1.5, 2.2 | 0.145 | 0.34 | 15.6
URUTTU_560HZ_LEAD | ROLL_STICK | 560.0 | 1.5, 2.2, 3.0 | 0.120 | 0.30 | 15.0
URUTTU_560HZ_FOLLOW | ROLL_STICK | 560.0 | 1.5, 2.2 | 0.100 | 0.25 | 10.0
URUTTU_561HZ_LEAD | ROLL_STICK | 561.0 | 1.5, 2.2, 3.0 | 0.125 | 0.31 | 16.0
URUTTU_561HZ_FOLLOW | ROLL_STICK | 561.0 | 1.5, 2.2 | 0.105 | 0.26 | 10.8
URUTTU_562HZ_LEAD | ROLL_STICK | 562.0 | 1.5, 2.2, 3.0 | 0.130 | 0.32 | 17.0
URUTTU_562HZ_FOLLOW | ROLL_STICK | 562.0 | 1.5, 2.2 | 0.110 | 0.27 | 11.6
URUTTU_563HZ_LEAD | ROLL_STICK | 563.0 | 1.5, 2.2, 3.0 | 0.135 | 0.33 | 18.0
URUTTU_563HZ_FOLLOW | ROLL_STICK | 563.0 | 1.5, 2.2 | 0.115 | 0.28 | 12.4
URUTTU_564HZ_LEAD | ROLL_STICK | 564.0 | 1.5, 2.2, 3.0 | 0.140 | 0.34 | 19.0
URUTTU_564HZ_FOLLOW | ROLL_STICK | 564.0 | 1.5, 2.2 | 0.120 | 0.29 | 13.2
URUTTU_565HZ_LEAD | ROLL_STICK | 565.0 | 1.5, 2.2, 3.0 | 0.145 | 0.35 | 20.0
URUTTU_565HZ_FOLLOW | ROLL_STICK | 565.0 | 1.5, 2.2 | 0.125 | 0.30 | 14.0
URUTTU_566HZ_LEAD | ROLL_STICK | 566.0 | 1.5, 2.2, 3.0 | 0.150 | 0.36 | 21.0
URUTTU_566HZ_FOLLOW | ROLL_STICK | 566.0 | 1.5, 2.2 | 0.130 | 0.31 | 14.8
URUTTU_567HZ_LEAD | ROLL_STICK | 567.0 | 1.5, 2.2, 3.0 | 0.155 | 0.37 | 22.0
URUTTU_567HZ_FOLLOW | ROLL_STICK | 567.0 | 1.5, 2.2 | 0.135 | 0.32 | 15.6
URUTTU_568HZ_LEAD | ROLL_STICK | 568.0 | 1.5, 2.2, 3.0 | 0.160 | 0.38 | 15.0
URUTTU_568HZ_FOLLOW | ROLL_STICK | 568.0 | 1.5, 2.2 | 0.140 | 0.33 | 10.0
URUTTU_569HZ_LEAD | ROLL_STICK | 569.0 | 1.5, 2.2, 3.0 | 0.165 | 0.39 | 16.0
